TIME,VALUE,LABEL
0.46,111.278,A2+20c
0.68,793.1,G5+20c
0.9,793.1,G5+20c
1.02,333.458,E4+20c
1.08,547.998,C#5-20c
1.32,666.915,E5+20c
1.52,337.332,E4+40c
2.02,659.255,E5
2.16,793.1,G5+20c
2.66,353.286,F4+20c
2.82,176.643,F3+20c
2.88,594.154,D5+20c
3.04,264.666,C4+20c
3.14,349.228,F4
3.3,176.643,F3+20c
3.34,264.666,C4+20c
3.4,353.286,F4+20c
3.52,264.666,C4+20c
3.58,176.643,F3+20c
3.66,264.666,C4+20c
3.72,174.614,F3
3.92,176.643,F3+20c
4.06,187.147,F#3+20c
4.22,264.666,C4+20c
4.7,659.255,E5
5.02,396.55,G4+20c
5.3,666.915,E5+20c
5.44,396.55,G4+20c
5.62,396.55,G4+20c
5.66,659.255,E5
5.88,651.683,E5-20c
5.92,264.666,C4+20c
6.04,666.915,E5+20c
6.08,193.746,G3-20c
6.24,659.255,E5
6.34,396.55,G4+20c
6.42,659.255,E5
6.58,396.55,G4+20c
6.6,659.255,E5
6.7,264.666,C4+20c
6.96,659.255,E5
7.14,659.255,E5
7.5,198.275,G3+20c
7.72,666.915,E5+20c
8.44,793.1,G5+20c
8.48,349.228,F4
8.66,111.278,A2+20c
8.66,264.666,C4+20c
8.84,264.666,C4+20c
8.94,333.458,E4+20c
8.94,793.1,G5+20c
9.06,176.643,F3+20c
9.2,333.458,E4+20c
9.26,176.643,F3+20c
9.28,111.278,A2+20c
9.38,333.458,E4+20c
9.48,793.1,G5+20c
9.58,264.666,C4+20c
9.66,111.278,A2+20c
9.82,793.1,G5+20c
9.84,111.278,A2+20c
10.02,793.1,G5+20c
10.08,333.458,E4+20c
10.76,235.79,A#3+20c
10.84,529.331,C5+20c
11.04,117.895,A#2+20c
15.5,529.331,C5+20c
15.86,523.251,C5
16.52,529.331,C5+20c
18.38,529.331,C5+20c
19.6,445.113,A4+20c
19.66,783.991,G5
20.52,783.991,G5
21.22,783.991,G5
21.48,357.391,F4+40c
21.96,659.255,E5
22.42,587.33,D5
22.88,580.583,D5-20c
23.12,523.251,C5
23.34,267.741,C4+40c
23.38,659.255,E5
25.22,396.55,G4+20c
26.56,523.251,C5
27.04,445.113,A4+20c
27.06,783.991,G5
27.94,802.316,G5+40c
28.58,523.251,C5
28.86,349.228,F4
29.32,999.244,B5+20c
29.58,880,A5
29.8,783.991,G5
30.52,890.225,A5+20c
30.76,783.991,G5
30.78,523.251,C5
31.68,659.255,E5
32.34,659.255,E5
32.64,587.33,D5
32.68,396.55,G4+20c
33.94,523.251,C5
34.44,440,A4
34.44,783.991,G5
35.34,802.316,G5+40c
36.04,783.991,G5
36.28,783.991,G5
36.3,349.228,F4
36.76,659.255,E5
37.2,587.33,D5
37.68,587.33,D5
37.92,523.251,C5
38.16,264.666,C4+20c
38.16,659.255,E5
39.98,198.275,G3+20c
